epoch,pde,top,bottom,periodic,total
2100,0.3629093063808589,7.157616800852825e-05,1.692560016075434e-05,2.3849395710315117e-32,0.40038995040119846
2200,0.3480035812166517,2.7376941028035118e-05,5.787347547312788e-06,2.1136685342593182e-32,0.36227078648540056
2300,0.33715974250346364,1.781629797676523e-05,4.381836848464345e-06,2.512821020436175e-32,0.3465060751766927
2400,0.3269892825807961,7.3258761301331155e-06,3.0935935097120493e-06,2.0678053899160757e-32,0.3309615799968339
2500,0.37568996505159435,1.1605988921965166e-05,4.610638812060451e-06,2.4725387737162446e-32,0.381954023393783
2600,0.3416954002576986,2.5649110426431062e-05,3.7428938207870615e-06,2.6090274244213886e-32,0.35489424485299287
2700,0.32440025248544746,1.5234619206182746e-05,3.5396867269757922e-06,2.7595180565440526e-32,0.33237153076123643
2800,0.3107793059687473,1.5088654487544064e-05,3.5376561257946965e-06,2.3286614988612584e-32,0.3186773988250988
2900,0.3022371729296125,1.8197532409244013e-05,2.9220637329977782e-05,2.669226644406279e-32,0.3142580028672323
3000,0.3314351000880527,6.363750522451504e-06,4.776474825629803e-06,2.2871502112925215e-32,0.33509462283184144
3100,0.29955116475951143,5.176693780062971e-06,2.917080138091738e-06,2.361351263426377e-32,0.3024312196633521
3200,0.2878266429505412,3.712840722422715e-05,5.799383548977346e-06,2.457997048978064e-32,0.30697078491755253
3300,0.27959937747843217,6.918954507333435e-06,2.787946453489488e-06,2.5532004091542623e-32,0.2833376493774479
3400,0.27336556369220283,8.52842620609455e-06,2.768458513312337e-06,2.7659074689963347e-32,0.27790662264658134
3500,0.3301572088446384,1.7670781623307011e-06,2.5781863502025798e-06,2.5702565860598837e-32,0.331298566560824
3600,0.2941768436953278,8.867509144360924e-06,3.4524558518304675e-06,2.6375436125669114e-32,0.29895584385269136
3700,0.2845344113845151,2.97386637752245e-06,2.101036991935089e-06,2.469357426538453e-32,0.2862314482724698
3800,0.27718115968174345,3.9504010020316675e-06,2.1893533116395483e-06,2.7214421109553544e-32,0.27937529551392326
3900,0.270243291383439,2.7270396158536637e-06,1.977541974016644e-06,2.444554122391329e-32,0.27180456538876746
4000,0.28553929522248245,2.025589319990549e-06,2.158295300932599e-06,2.5662795647042994e-32,0.28676791941257096
4100,0.2543449606013551,1.5451324640357446e-06,1.701253433577667e-06,2.5506552567765554e-32,0.2552876521767307
4200,0.24682056849863157,1.4449726578287798e-06,1.8287592069139632e-06,2.893200536957148e-32,0.24772593074823734
4300,0.24195941590305794,8.965167442291611e-07,1.7770085055304456e-06,2.850356120006321e-32,0.24258537512572556
4400,0.23822481239858087,7.795705281246277e-07,1.7106411602077067e-06,2.634709611725055e-32,0.23878566177866395
4500,0.27698954784458646,8.052006880238229e-07,2.0360912907092447e-06,2.5492914495317345e-32,0.2775957573176693
4600,0.2608809801132011,6.798883217008807e-07,1.653248962051058e-06,2.74679283299478e-32,0.26138624917025666
4700,0.25640201690323017,6.543041188488503e-07,1.6166953167264481e-06,2.362826537904447e-32,0.2568908384943272
4800,0.2545348914414687,6.51280759593787e-07,1.6128003461110098e-06,2.819669220973379e-32,0.25502181185587663
4900,0.25389217818714266,6.500941887170058e-07,1.6108968250683123e-06,2.9255518465768013e-32,0.254378314964008
5000,0.27374523034280784,8.367406313506815e-07,1.7165321795154572e-06,2.4490410401950109e-32,0.2743352538764347
