label,period_over_lambda,duty_cycle,ridge_height,n_ridge,n_substrate,theta_deg,kx_inc_over_k0,pm1_in_air_propagating,pm1_in_sub_propagating,g_norm,frac_pm1,d_t_pm1_along_g,pm1_subspace_rank,pm1_sigma_max,is_obstructed,r4_norm,r5_norm,r_grat_norm,pde_air_frac_pm1,pde_grat_frac_pm1,pde_sub_frac_pm1,top_DtN_frac_pm1,bottom_DtN_frac_pm1
ridge_height_h0.20,0.8,0.4000000000000001,0.2,1.5,1.45,0.0,0.0,False,True,1.268129943220658,0.0,0.0,4,5.38253579424782,True,0.2774420076521798,0.1975118696112329,0.3405657150204595,0.0,0.0,0.0,0.0,0.0
ridge_height_h0.30,0.8,0.4000000000000001,0.3,1.5,1.45,0.0,0.0,False,True,0.8266359722939975,0.0,0.0,4,4.219423933093279,True,0.22329979210425568,0.25714239069743644,0.3405657150204595,0.0,0.0,0.0,0.0,0.0
ridge_height_h0.40,0.8,0.4000000000000001,0.4,1.5,1.45,0.0,0.0,False,True,0.6105267190155804,0.0,0.0,4,2.5006989748292443,True,0.241427915168917,0.24020318071288535,0.3405657150204595,0.0,0.0,0.0,0.0,0.0
ridge_height_h0.50,0.8,0.4000000000000001,0.5,1.5,1.45,0.0,0.0,False,True,0.4818228049501492,0.0,0.0,4,1.262672504732337,True,0.28512434815112153,0.18625013379537447,0.3405657150204595,0.0,0.0,0.0,0.0,0.0
ridge_height_h0.70,0.8,0.4000000000000001,0.7,1.5,1.45,0.0,0.0,False,True,0.3348576167719073,0.0,0.0,4,25.696618348614585,True,0.25371210492190427,0.22718973142176446,0.3405657150204595,0.0,0.0,0.0,0.0,0.0
n_ridge_n1.1,0.8,0.4000000000000001,0.2,1.1,1.45,0.0,0.0,False,True,4.76802674525792,0.0,0.0,4,5.38253579424782,True,1.6787592666411557,1.1951141940883077,2.0607111908865097,0.0,0.0,0.0,0.0,0.0
n_ridge_n1.3,0.8,0.4000000000000001,0.2,1.3,1.45,0.0,0.0,False,True,2.732575600920426,0.0,0.0,4,5.38253579424782,True,0.7758971400442315,0.5523637031500581,0.9524295420063698,0.0,0.0,0.0,0.0,0.0
n_ridge_n1.5,0.8,0.4000000000000001,0.2,1.5,1.45,0.0,0.0,False,True,1.268129943220658,0.0,0.0,4,5.38253579424782,True,0.2774420076521798,0.1975118696112329,0.3405657150204595,0.0,0.0,0.0,0.0,0.0
n_ridge_n1.7,0.8,0.4000000000000001,0.2,1.7,1.45,0.0,0.0,False,True,8.187096879572017,0.0,0.0,4,5.38253579424782,True,1.4812581764480783,1.0545125241955653,1.8182745801939786,0.0,0.0,0.0,0.0,0.0
n_ridge_n2.0,0.8,0.4000000000000001,0.2,2.0,1.45,0.0,0.0,False,True,24.39851803980049,0.0,0.0,4,5.38253579424782,True,3.569126844203466,2.540873034490268,4.381175893229302,0.0,0.0,0.0,0.0,0.0
n_ridge_n2.5,0.8,0.4000000000000001,0.2,2.5,1.45,0.0,0.0,False,True,68.05464358043109,0.0,0.0,4,5.38253579424782,True,7.801293062626549,5.553765960763313,9.576246122354958,0.0,0.0,0.0,0.0,0.0
n_ridge_n3.0,0.8,0.4000000000000001,0.2,3.0,1.45,0.0,0.0,False,True,138.71811962773342,0.0,0.0,4,5.38253579424782,True,12.973940662921427,9.236190648430368,15.925776402397425,0.0,0.0,0.0,0.0,0.0
theta_deg_0deg,0.8,0.4000000000000001,0.2,1.5,1.45,0.0,0.0,False,True,1.268129943220658,0.0,0.0,4,5.38253579424782,True,0.2774420076521798,0.1975118696112329,0.3405657150204595,0.0,0.0,0.0,0.0,0.0
theta_deg_5deg,0.8,0.4000000000000001,0.2,1.5,1.45,5.0,0.08715574274765818,False,True,1.2666135864163655,0.0,0.0,4,5.375556913027069,True,0.28071983377056753,0.19211097892049808,0.34016209855591956,0.0,0.0,0.0,0.0,0.0
theta_deg_10deg,0.8,0.4000000000000001,0.2,1.5,1.45,10.0,0.17364817766693036,False,True,1.26200824992536,0.0,0.0,4,5.355729180665323,True,0.28942423966526254,0.1763858954858366,0.3389371248950988,0.0,0.0,0.0,0.0,0.0
theta_deg_15deg,0.8,0.4000000000000001,0.2,1.5,1.45,15.0,0.25881904510252074,False,False,1.2541426789667987,0.0,0.0,4,5.326184261794105,True,0.2998981486377612,0.15338647925406548,0.3368476088297416,0.0,0.0,0.0,0.0,0.0
theta_deg_20deg,0.8,0.4000000000000001,0.2,1.5,1.45,20.0,0.3420201433256687,False,False,1.2427230604382478,0.0,0.0,4,5.291517475937917,True,0.30552393039252784,0.13449955855309262,0.33381881806374397,0.0,0.0,0.0,0.0,0.0
theta_deg_30deg,0.8,0.4000000000000001,0.2,1.5,1.45,30.0,0.49999999999999994,False,False,1.2073472749293959,0.0,0.0,4,5.227353722858412,True,0.26480396147237917,0.18748978107357886,0.32445886645071637,0.0,0.0,0.0,0.0,0.0
theta_deg_40deg,0.8,0.4000000000000001,0.2,1.5,1.45,40.0,0.6427876096865393,False,False,1.150396924334217,0.0,0.0,4,5.195850952358562,True,0.13140392050163757,0.2801218924406651,0.30941115840858135,0.0,0.0,0.0,0.0,0.0
theta_deg_45deg,0.8,0.4000000000000001,0.2,1.5,1.45,45.0,0.7071067811865476,False,False,1.111169044277649,0.0,0.0,4,5.195661070061812,True,0.12240818766088721,0.27283483754056753,0.2990361399266163,0.0,0.0,0.0,0.0,0.0
large_period_high_contrast,1.5,0.5,0.3,2.0,1.45,0.0,0.0,True,True,20.898122074290743,0.0,0.0,4,4.219423933093279,True,3.271914847055581,3.645264186980721,4.89830355932204,0.0,0.0,0.0,0.0,0.0
small_period_oblique,0.5,0.3,0.1,1.3,1.45,20.0,0.3420201433256687,False,False,3.3883108141373897,0.0,0.0,2,1.4956259142951134,True,0.6721989764481954,0.3047273245055358,0.7380448538119507,0.0,0.0,0.0,0.0,0.0
mid_period_dc0p6_oblique,1.0,0.6,0.4,1.8,1.45,30.0,0.49999999999999994,False,False,7.81569144471478,0.0,0.0,4,2.414771730125721,True,1.9052626869664668,2.23130842387684,2.9340693905922586,0.0,0.0,0.0,0.0,0.0
baseline_45deg,0.8,0.4000000000000001,0.2,1.5,1.45,45.0,0.7071067811865476,False,False,1.111169044277649,0.0,0.0,4,5.195661070061812,True,0.12240818766088721,0.27283483754056753,0.2990361399266163,0.0,0.0,0.0,0.0,0.0
large_period_deep_ridge,2.0,0.3,0.5,2.5,1.45,10.0,0.17364817766693036,True,True,22.1429637333571,0.0,0.0,4,1.2575977348847225,True,5.531413500689469,5.115849513504002,7.5344841602082395,0.0,0.0,0.0,0.0,0.0
